countryorigin_iso3,tq,row_count,measure_sum
MNG,2015q4,3,12109756
ZWE,2015q2,3,12082231
AGO,2015q3,4,11752842
VEN,2015q1,2,11727381
TCA,2015q3,5,11668619
GEO,2015q4,17,11367989
TON,2015q3,2,11276837
ZWE,2015q4,2,10984853
PRI,2015q2,3,10701128
IRN,2015q4,18,10658017
EST,2015q3,17,10638165
SRB,2015q3,2,10436379
KGZ,2015q2,2,10325832
MHL,2015q3,6,10260404
AND,2015q4,2,9928679
GEO,2015q3,17,9676508
ISL,2015q2,2,9657721
GUY,2015q3,3,9131188
NAM,2015q4,8,9114315
TUN,2015q2,5,8939309
GTM,2015q2,8,8740884
LBN,2015q1,20,8327844
ZMB,2015q1,2,8292766
MDA,2015q2,2,8242738
NFK,2015q4,1,8206372
GAB,2015q3,4,7829157
PRY,2015q3,3,7799480
ETH,2015q3,6,7496956
SVK,2015q1,9,7170690
CYM,2015q2,3,7025857
EST,2015q2,10,6846886
LBN,2015q3,10,6755391
ECU,2015q2,3,6726633
ISL,2015q4,15,6476669
VGB,2015q1,10,6240624
LUX,2015q2,12,6030055
JAM,2015q1,4,5934606
CIV,2015q4,7,5426055
EST,2015q1,9,5236194
NFK,2015q2,3,5138558
TCD,2015q3,2,5103149
MUS,2015q2,9,5025476
VGB,2015q3,9,5020216
BIH,2015q2,5,4924137
AND,2015q3,3,4748724
AIA,2015q4,17,4690247
ETH,2015q2,4,4626909
DMA,2015q3,1,4406190
SYR,2015q3,2,4372548
LVA,2015q3,5,4355250
SLV,2015q1,10,4214590
LAO,2015q2,4,4161497
KAZ,2015q4,1,4141364
GUM,2015q1,72,4125960
LBN,2015q4,13,4121163
NFK,2015q3,1,4086670
SLV,2015q2,23,4052835
PAN,2015q1,6,4018916
SWZ,2015q2,1,3997960
HND,2015q2,5,3973799
BRN,2015q4,21,3955174
TGO,2015q3,1,3952233
NIC,2015q4,9,3949583
KGZ,2015q3,2,3914414
MDA,2015q3,2,3867852
BRB,2015q4,4,3743707
CIV,2015q2,2,3658244
ZAR,2015q4,2,3613885
FRO,2015q3,2,3490717
JAM,2015q2,23,3304446
ALB,2015q4,16,3269863
AZE,2015q3,2,3200070
NIC,2015q3,7,3185203
MUS,2015q1,4,3076379
FLK,2015q1,1,3056506
SLV,2015q3,54,3000805
BLZ,2015q3,4,2929994
NCL,2015q4,3,2920753
CUB,2015q1,1,2885740
GRL,2015q2,2,2867563
DOM,2015q2,11,2846670
HND,2015q1,11,2806306
JAM,2015q3,6,2799041
SRB,2015q4,5,2793252
PAN,2015q3,18,2789033
BIH,2015q1,2,2753530
HND,2015q4,25,2711067
ATF,2015q3,1,2692682
AZE,2015q1,1,2654770
BLZ,2015q2,2,2582168
SLV,2015q4,55,2484788
BLZ,2015q4,2,2478223
UGA,2015q1,1,2308446
CMR,2015q1,4,2280461
GHA,2015q2,5,2163970
VIR,2015q1,2,2147612
ECU,2015q1,5,2083741
FRO,2015q2,1,1964737
NIC,2015q2,3,1963648
JAM,2015q4,7,1906311
SDN,2015q3,1,1866505
MLI,2015q4,5,1859300
CMR,2015q4,4,1801180
ISL,2015q3,2,1778679
FRO,2015q1,1,1755256
NIC,2015q1,2,1753665
LSO,2015q1,2,1742543
PAN,2015q2,11,1708351
MDV,2015q1,6,1664559
CUB,2015q2,2,1654314
ASM,2015q4,1,1617296
VIR,2015q2,2,1612618
GAB,2015q1,1,1580123
CMR,2015q2,2,1568342
TUN,2015q1,5,1558166
AND,2015q2,3,1551437
ETH,2015q4,9,1535022
MLT,2015q1,4,1477334
